asset,mean_annual,std_annual,geo_mean_annual,sharpe_ratio,max_drawdown,skewness,kurtosis,best_month,worst_month,n_months,n_years,start,end
nifty50_NIFTY50,0.11014507802263562,0.20544171834020095,0.08688160991423333,0.21974640003681087,-0.5511843003573142,-0.30890825479297385,4.542656094321334,0.28066041763547167,-0.2641027915972838,225,18.75,2007-10-31,2026-06-30
nse_sectoral_NIFTYBANK,0.15820365297084282,0.29180868064390575,0.11084627262740265,0.3193998642027352,-0.6053713712082387,0.28671106864393825,4.521680901171136,0.4450247923880175,-0.34319482297592574,225,18.75,2007-10-31,2026-06-30
nse_sectoral_NIFTYIT,0.1296083755100912,0.24516568974005282,0.09652687386961878,0.2635294342311721,-0.5648713678337653,-0.08195804244662691,1.0279487671689673,0.23798834233979926,-0.20875776454282102,225,18.75,2007-10-31,2026-06-30
nse_sectoral_NIFTYPHARMA,0.13402742187832595,0.18656433927175742,0.11531744544793798,0.369992583511781,-0.4568688967154278,0.7547704877433904,3.6139077192356783,0.2996724878945167,-0.12735238021229645,185,15.416666666666666,2011-02-28,2026-06-30
nse_sectoral_NIFTYFMCG,0.13287238442296445,0.15203585398564098,0.12014002872981333,0.44642354184016786,-0.305181504953115,-0.0330154145779362,0.1645028666070547,0.12804739619119232,-0.10956804491887395,185,15.416666666666666,2011-02-28,2026-06-30
nse_sectoral_NIFTYAUTO,0.17395640416663238,0.22908755412928855,0.14306107596020778,0.4756103166789297,-0.6060434708824645,-0.7829897971099691,3.492309386437112,0.24731049520408366,-0.31469670683605755,179,14.916666666666666,2011-08-31,2026-06-30
nse_sectoral_NIFTYREALTY,0.10884625548872506,0.35929952705508167,0.040145710265940604,0.12203260006519102,-0.7350279551565679,0.13370747511677908,1.107300762143959,0.3557477739154913,-0.3744430310597274,191,15.916666666666666,2010-08-31,2026-06-30
nse_sectoral_NIFTYFINNIFTY,0.1692662053699152,0.2216418261903978,0.1408402601184826,0.470426575895233,-0.3599612874089894,-0.434519599855467,4.077437978935036,0.22835074020283974,-0.31321018611730667,177,14.75,2011-10-31,2026-06-30
nse_sectoral_NIFTYMETAL,0.13181623579777346,0.29989043084949557,0.08291419780976561,0.22280216013730086,-0.6099462630635963,0.10123597614115896,0.7701068123040202,0.2483998455734564,-0.29391599032198557,179,14.916666666666666,2011-08-31,2026-06-30
nse_sectoral_NIFTYENERGY,0.12803603595760604,0.21624917564186438,0.10264392860362026,0.2914972312403243,-0.32826596943777736,0.1800883222585069,0.30073383800512765,0.18253527086426025,-0.18510362679474035,185,15.416666666666666,2011-02-28,2026-06-30
nse_sectoral_NIFTYINFRA,0.09009302238134809,0.21426033749390186,0.06576794053873258,0.11711464041758203,-0.4737316296375018,0.11595197714835359,0.9203165952792669,0.21179894649657194,-0.2161062681610627,191,15.916666666666666,2010-08-31,2026-06-30
nse_sectoral_NIFTYMIDCAP100,0.16064753198529047,0.2517280824818115,0.12431873507565783,0.37996369353109993,-0.6548095799375118,-0.2581637093844025,5.08242014571754,0.3866425966070095,-0.3027817082122739,225,18.75,2007-10-31,2026-06-30
bse_SENSEX,0.13234144020108696,0.21219298375460427,0.10721983122410395,0.31735941033265075,-0.5617087478803909,-0.2589272266695065,2.360167663059411,0.28255102711946156,-0.238901046997968,317,26.416666666666668,2000-02-29,2026-06-30
commodities_GOLD_INR_ETF,0.1417778470335811,0.15102996682143954,0.12932603790259023,0.5083616758279129,-0.24415915787072076,0.5709861514163728,1.5593893538632368,0.19080913986354808,-0.10544358274412413,209,17.416666666666668,2009-02-28,2026-06-30
commodities_SILVER_INR_ETF,0.37612525262754537,0.3382697034969224,0.3086221318138125,0.919755004398069,-0.27387602521982446,1.2681430459295642,3.4978647182561127,0.3741786490059109,-0.16581782754294394,52,4.333333333333333,2022-03-31,2026-06-30
commodities_GOLD_USD_FUT,0.1242251608673175,0.16598204866426247,0.1090719513053473,0.35681666387377975,-0.420125759459598,-0.11601681415195125,0.5855772744357042,0.1386719114213657,-0.18005035714502649,310,25.833333333333332,2000-09-30,2026-06-30
commodities_SILVER_USD_FUT,0.1546795645056831,0.3124380539256427,0.10087151085013768,0.2870315039378205,-0.7164704486587786,0.16475908406952325,0.602950362642154,0.30462211845415577,-0.27957506365070883,310,25.833333333333332,2000-09-30,2026-06-30
commodities_CRUDE_WTI,0.10637286688448455,0.38641194532691503,0.029461956085376606,0.10706932687984574,-0.8654285703386579,1.3291454893005021,14.374882839893875,0.8837580356172043,-0.5424486079039064,310,25.833333333333332,2000-09-30,2026-06-30
commodities_CRUDE_BRENT,0.07095941564758723,0.3719258197159187,-0.0025550238554995497,0.01602312969865631,-0.8373739578535294,0.3247218188888034,8.154480933839226,0.6328641417315757,-0.549881243763457,227,18.916666666666668,2007-08-31,2026-06-30
commodities_USDINR,0.03581638263549647,0.0736247978656356,0.03305980982122203,-0.3963829879406025,-0.15711338496914468,0.6236479850832517,3.618123216804422,0.10824235096972146,-0.06647869984881594,270,22.5,2004-01-31,2026-06-30
etfs_ETF_NIFTY50,0.15462551190848806,0.17656732867634375,0.13725998579915588,0.5075996368092301,-0.28811454288493804,0.2837233963136934,5.122402457844673,0.27997131697804156,-0.2292731852143115,209,17.416666666666668,2009-02-28,2026-06-30
etfs_ETF_NIFTYBANK,0.20289144707361206,0.2729226607852336,0.1608741461434684,0.5052400071026738,-0.4113070131435219,0.7385684574531434,6.900220773072569,0.47058823529411775,-0.344263930561608,209,17.416666666666668,2009-02-28,2026-06-30
etfs_ETF_NIFTYIT,0.15648811515476857,0.23580255084553015,0.1256174604909932,0.38798611307093417,-0.35634646546701104,-0.04396666550969226,1.2090436873895491,0.2261354302412315,-0.19360989980370769,72,6.0,2020-07-31,2026-06-30
etfs_ETF_GOLD,0.1417778470335811,0.15102996682143954,0.12932603790259023,0.5083616758279129,-0.24415915787072076,0.5709861514163728,1.5593893538632368,0.19080913986354808,-0.10544358274412413,209,17.416666666666668,2009-02-28,2026-06-30
etfs_ETF_SILVER,0.37612525262754537,0.3382697034969224,0.3086221318138125,0.919755004398069,-0.27387602521982446,1.2681430459295642,3.4978647182561127,0.3741786490059109,-0.16581782754294394,52,4.333333333333333,2022-03-31,2026-06-30
etfs_ETF_LIQUID,0.03079659887252051,0.006105007052670935,0.030777569937629812,-5.602516235016557,-2.0075737271141314e-05,-0.3580323925238687,-1.2513575827868522,0.005822085378077935,-2.0075737271141314e-05,209,17.416666666666668,2009-02-28,2026-06-30
etfs_ETF_GILT,0.06283974774084311,0.025958195906081515,0.06249125502383124,-0.08322043130319336,-0.02442457122003901,0.13835328444281397,0.5401491835027801,0.02405043524499284,-0.01289217228590911,62,5.166666666666667,2021-05-31,2026-06-30
etfs_ETF_MOTILAL_NIFTY50,0.282855605860719,0.2244978793284623,0.2524807902620083,0.9704127562914525,-0.31587331139008495,0.3034336921720506,1.934277358841864,0.2920878556734934,-0.19385676485573655,183,15.25,2011-04-30,2026-06-30
cpi_CPI_FRED_CPI_Index,0.0580946352273195,0.02508300764536766,0.057767152050288484,-0.2753005090263083,-0.024691393884313698,0.7759788474830837,3.759152342250094,0.04575150109538706,-0.016460965115831283,317,26.416666666666668,2000-02-29,2026-06-30
cpi_CPI_FRED_CPI_MoM,,,,0,-3.505509993309988,,,inf,-inf,302,25.166666666666668,2000-03-31,2026-06-30
cpi_CPI_FRED_CPI_YoY,0.13927283593279305,0.5304854049104684,-0.0037592342885786056,0.1400091976994698,-0.9332126266936677,0.8190907940230945,3.0122713149071028,0.7269638138134196,-0.5072726149283293,305,25.416666666666668,2001-02-28,2026-06-30
cpi_Bond_Yield_India_10Y_Yield,-0.010292728958092856,0.08123889504973976,-0.013585287475903818,-0.9268064135041931,-0.3530436717663424,-0.7572926226761599,4.734387721362845,0.07814548102597296,-0.12560105836529867,174,14.5,2012-01-31,2026-06-30
repo_rate_repo_rate,-0.012717542004380356,0.21426990730978088,-0.035524433964144286,-0.36270861821030315,-0.7368421052631581,0.6376871581296093,18.38325939925297,0.3846153846153846,-0.4444444444444444,317,26.416666666666668,2000-02-29,2026-06-30
